Primers,ASVs,Error,Genus
V1V2,3,2,Bacillus
V1V2,1,2,Enterococcus
V1V2,5,12,Escherichia
V1V2,5,6,Lactobacillus
V1V2,4,3,Listeria
V1V2,1,0,Pseudomonas
V1V2,3,9,Salmonella
V1V2,3,3,Staphylococcus
V3V4,1,0,Bacillus
V3V4,1,0,Enterococcus
V3V4,2,1,Escherichia
V3V4,1,0,Lactobacillus
V3V4,1,0,Listeria
V3V4,1,0,Pseudomonas
V3V4,2,1,Salmonella
V3V4,2,1,Staphylococcus
V4V5,1,0,Bacillus
V4V5,1,0,Enterococcus
V4V5,1,0,Escherichia
V4V5,2,2,Lactobacillus
V4V5,1,0,Listeria
V4V5,1,0,Pseudomonas
V4V5,1,0,Salmonella
V4V5,1,0,Staphylococcus
